Loan Identifier,Originator,Borrower Identifier,Property Identifier,Borrower Type,Foreign National,Borrower Year of Birth,Number of Debtors,Second Applicant Year of Birth,Borrower's Employment Status,First-time Buyer,Primary Income,Income Verification for Primary Income,Secondary Income,Income Verification for Secondary Income,Resident,Loan Origination Date,Date of Loan Maturity,Account Status Date,Origination Channel / Arranging Bank or Division,Purpose,Shared Ownership,Loan Term,Principal Grace Period,Amount Guaranteed,Subsidy,Loan Currency Denomination,Original Balance,Current Balance,Fractioned / Subrogated Loans,Repayment Method,Payment Frequency,Payment Due,Payment Type,Debt to Income,Lien,Mortgage Inscription,Interest Rate Type,Current Interest Rate Index,Current Interest Rate,Current Interest Rate Margin,Interest Rate Reset Interval,Revised Interest Rate Index,Restructuring Arrangement,Geographic Region List,Property Postcode,Property Type,Original Loan to Value,Valuation Amount,Original Valuation Type,Valuation Date,Current Loan to Value,Current Valuation Amount,Current Valuation Type,Current Valuation Date,Ipoteca,Account Status,Arrears Balance,Number Months in Arrears,Arrears 1 Month Ago,Arrears 2 Months Ago
4.706E+19,Banca Popolare di Bari,"100,169,373,000,100,000,000",5.4242E+13,1,Y,1972,2,1974,1,N,15128.7,3,7564.35,3,2,2001-11,2016-12,2011-11,1,5,1,180,0,56810.26,N,EUR,56810.26,8606.68,N,2,1,504.29,1,0.38,1,113620.52,3,12,6.8,6.8,181,12,N,ITF42,70,1,66.67,85215,1,2008-10,10.1,85215,1,2008-10,113620.52,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"54,073,501,000,000,000,000",5.4242E+13,1,Y,1941,2,1946,1,N,34439.8,3,17219.9,3,2,2001-12,2016-06,2011-11,1,5,1,180,0,154937.07,N,EUR,154937.07,13422.54,N,2,3,6887.96,1,0.26,1,315874.14,1,6,3.5,1,6,6,N,ITF42,70,1,66.67,232410,1,2008-09,5.78,232410,1,2008-09,315874.14,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,232,818,000,100,000,000",5.4242E+13,1,Y,1969,2,1972,5,Y,17468.1,3,8734.05,3,2,2002-02,2017-02,2011-11,1,5,1,180,1,80050.82,N,EUR,80050.82,11345.11,N,2,1,582.27,1,0.43,1,160101.64,6,6,3,1.4,6,6,N,ITF42,70,1,57.18,140000,1,2008-10,8.1,140000,1,2008-10,160101.64,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,045,607,000,100,000,000",5.4242E+13,1,Y,1961,2,1964,1,Y,20501.4,3,10250.7,3,2,2002-02,2017-02,2011-11,1,5,1,180,1,77468.53,N,EUR,77468.53,12898.32,N,2,1,683.38,1,0.42,1,154937.06,3,12,6.7,6.7,180,12,N,ITF42,70,1,75,103291.37,1,2001-09,12.49,103291.37,1,2001-09,154937.06,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,234,806,000,100,000,000",5.4242E+13,1,Y,1964,2,1968,1,N,20635.45,3,10317.73,3,2,2001-02,2016-12,2011-11,1,5,1,180,1,94511.61,N,EUR,94511.61,16005.05,N,2,3,4127.09,1,0.52,1,189023.22,1,6,2.5,1.6,6,6,N,ITF42,70,1,66.09,143000,1,2008-06,11.19,143000,1,2008-06,189023.22,2,4127.09,1,0,0
4.706E+19,Banca Popolare di Bari,"100,240,857,000,100,000,000",5.4242E+13,1,Y,1966,2,1973,5,N,8226.3,3,4113.15,3,2,2001-02,2016-12,2011-11,1,5,1,180,1,29954.5,N,EUR,29954.5,4600.28,N,2,3,1645.26,1,0.37,1,59909,3,12,7.2,7.2,190,12,N,ITF42,70,1,66.57,45000,1,2008-10,10.22,45000,1,2008-10,59909,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,238,190,000,100,000,000",5.4242E+13,1,Y,1966,2,1968,3,N,20571.5,3,10285.75,3,2,2001-02,2016-12,2011-11,1,5,1,180,1,77468.53,N,EUR,77468.53,11615.36,N,2,3,4114.3,1,0.38,1,154937.06,3,12,6.2,6.2,190,12,N,ITF42,70,1,66.67,116205,1,2008-10,10,116205,1,2008-10,154937.06,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,193,423,000,100,000,000",5.4242E+13,1,Y,1968,2,1971,1,N,8457.15,3,4228.58,3,2,2001-02,2016-12,2011-11,1,5,1,180,1,38734.27,N,EUR,38734.27,6559.42,N,2,3,1691.43,1,0.52,1,77468.54,1,6,2.5,1.6,6,6,N,ITF42,70,1,66.67,58100,1,2008-11,11.29,58100,1,2008-11,77468.54,2,1691.43,1,0,0
4.706E+19,Banca Popolare di Bari,"100,240,922,000,100,000,000",5.4242E+13,1,Y,1945,2,1945,1,N,10056.8,3,5028.4,3,2,2001-02,2016-12,2011-11,1,5,1,180,1,92962.24,N,EUR,92962.24,5886.33,N,2,3,2011.36,1,0.39,1,185924.48,1,6,2.5,1.6,6,6,N,ITF42,70,1,66.67,139440,1,2008-10,4.22,139440,1,2008-10,185924.48,1,0,0,0,0
4.706E+19,Banca Popolare di Bari,"100,240,952,000,100,000,000",5.4242E+13,1,Y,1953,2,1960,1,N,11276.15,3,5638.08,3,2,2001-02,2016-12,2011-11,1,5,1,180,1,51645.69,N,EUR,51645.69,6600.01,N,2,3,2255.23,1,0.39,1,103291.38,1,6,2.5,1.6,6,6,N,ITF42,70,1,66.66,77475,1,2008-10,8.52,77475,1,2008-10,103291.38,1,0,0,0,0
